time,gsr
0.0008425712585449219,409
5.003147602081299,431
10.005521535873413,431
15.007927894592285,445
20.01040530204773,407
25.01272964477539,400
30.015141010284424,427
35.01751899719238,421
40.019893169403076,431
45.022260427474976,403
50.02462196350098,437
55.0270516872406,432
60.02937579154968,386
65.03173923492432,389
70.0340986251831,430
75.03648614883423,417
80.03881311416626,415
85.04145383834839,407
90.04378008842468,400
95.04609441757202,402
100.04844689369202,408
105.05080199241638,401
110.05310487747192,391
115.05546545982361,424
120.05782580375671,397
125.0601749420166,398
130.0627362728119,421
135.06511092185974,420
140.06766390800476,419
145.0700170993805,388
150.07240986824036,381
155.07503867149353,383
160.07736015319824,400
165.0796880722046,391
170.08205270767212,417
175.08440566062927,379
180.08676505088806,390
185.08913922309875,421
190.09025526046753,390
195.09253358840942,397
200.0948929786682,394
205.09722709655762,408
210.0995798110962,402
215.10196590423584,433
220.10433554649353,408
225.1066951751709,414
230.10902976989746,415
235.111407995224,413
240.11377120018005,412
245.11612939834595,410
250.11847043037415,416
255.12081933021545,424
260.1231415271759,379
265.1254713535309,418
270.12783694267273,419
275.1301655769348,379
280.13248014450073,386
285.1348044872284,384
290.1371338367462,425
295.13949179649353,432
300.1418285369873,398
305.1441855430603,401
310.14652013778687,403
315.14888620376587,409
320.1512932777405,412
325.15366530418396,416
330.1560215950012,420
335.15839433670044,417
340.1594681739807,415
345.16177582740784,410
350.1641614437103,407
355.1665029525757,404
360.16882491111755,401
365.1711666584015,402
370.17348766326904,401
375.1759865283966,401
380.1785497665405,406
385.18112564086914,409
390.18346118927,412
395.18585205078125,415
400.188205242157,417
405.19059324264526,419
410.19292879104614,419
415.19532561302185,421
420.1976444721222,420
425.19998598098755,421
430.2023735046387,419
435.2046813964844,417
440.20707273483276,413
445.20944905281067,417
450.21183705329895,417
455.21420669555664,418
460.21657156944275,416
465.2189693450928,438
470.2200837135315,415
475.22238850593567,408
480.2247061729431,412
485.227112531662,412
490.2294840812683,412
495.2318539619446,419
500.2342164516449,425
505.2365837097168,406
510.2390010356903,444
515.241320848465,426
520.2436800003052,443
525.2460501194,444
530.2483701705933,439
535.2506902217865,442
540.2530617713928,443
545.2553913593292,446
550.2577183246613,447
555.2600810527802,450
560.262414932251,393
565.2647533416748,386
570.2671229839325,391
575.2694754600525,400
580.2717840671539,407
585.2741482257843,410
590.2764756679535,402
595.2787888050079,393
600.2811591625214,390
605.2834842205048,405
610.2858383655548,411
615.288202047348,420
620.2905693054199,423
625.2929155826569,416
630.2953357696533,407
635.2976746559143,405
640.2999999523163,410
645.3023703098297,416
650.3034477233887,423
655.3057413101196,424
660.3080811500549,446
665.3104848861694,440
670.3128612041473,441
675.3152577877045,407
680.3176167011261,396
685.3199977874756,411
690.322377204895,404
695.3247404098511,456
700.3271050453186,453
705.3294899463654,454
710.3318393230438,418
715.3342328071594,420
